Archivo Origen;ID Interseccion;Direccion;Zona;Version;Fecha;PS;Ciclo;Grupo de Senales;TVI;TVF;TFD;RES;Pagina
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;1;61;89;28;23;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;3;3;35;32;27;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;21;4;55;51;44;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;23;39;88;49;42;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;721;0;0;0;;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;723;0;0;0;;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;3A;10;36;26;21;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;11;68;6;28;23;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;23A;43;5;52;45;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;723A;0;0;0;;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;2;43;63;20;15;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;4;10;33;23;18;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;22;12;34;22;15;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;24;46;64;18;11;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;722;0;0;0;;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;724;0;0;0;;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;12;50;75;25;20;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;7;11;46;35;30;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;312;81;7;16;9;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90;7312;0;0;0;;8
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;2;120;1;56;97;41;36;9
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;2;120;3;101;24;43;38;9
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;2;120;21;102;50;68;61;9
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;2;120;23;28;96;68;61;9
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;2;120;721;0;0;0;;9
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;2;120;723;0;0;0;;9
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;2;120;3A;108;24;36;31;9
