size_in_MB,id,name,creation,last_modification,type_of_file,date,mes,Estado,num
"0,66",1jYcI-kjvRH7PAPYtMtTmcNH5VZubFUlV,Detector-Measurement Point-Traffic Data - Processed-260215_260215.csv,2026-03-03T16:27:40.019Z,2026-02-16T05:14:24.245Z,text/csv,2026-02-15,2602,Procesado,338861
"0,66",1e0t8aqkN7WFN4f_QNcq1JGvzPuWRBnvL,Detector-Measurement Point-Traffic Data - Processed-260214_260214.csv,2026-03-03T16:28:25.388Z,2026-02-15T05:14:41.475Z,text/csv,2026-02-14,2602,Procesado,341646
"0,66",1sWF0OC4HifuN3VvGsCuQ0AF2SOt02v4C,Detector-Measurement Point-Traffic Data - Processed-260213_260213.csv,2026-03-03T16:28:26.275Z,2026-02-14T05:17:08.293Z,text/csv,2026-02-13,2602,Procesado,338254
"0,66",1Szxz0GjpDEk-HHRMkXYRakQjbq2Foh_2,Detector-Measurement Point-Traffic Data - Processed-260212_260212.csv,2026-03-03T16:28:05.532Z,2026-02-13T05:15:10.907Z,text/csv,2026-02-12,2602,Procesado,337075
"0,66",12ZqFBGFaV-ylnGl4HL3IKBFFDNbSxnbg,Detector-Measurement Point-Traffic Data - Processed-260211_260211.csv,2026-03-03T16:29:18.032Z,2026-02-12T05:14:53.729Z,text/csv,2026-02-11,2602,Procesado,340501
"0,66",1omXPEfdtikhHlWKeeNjQPCDVShSyvkZF,Detector-Measurement Point-Traffic Data - Processed-260210_260210.csv,2026-03-03T16:27:39.025Z,2026-02-11T05:14:58.688Z,text/csv,2026-02-10,2602,Procesado,344229
"0,66",1oPgrw-rfKqgspstS_k5qV4qyHL90neqO,Detector-Measurement Point-Traffic Data - Processed-260209_260209.csv,2026-03-03T16:28:44.606Z,2026-02-10T05:14:24.886Z,text/csv,2026-02-09,2602,Procesado,331215
"0,66",1noE-81q1O7FAdK3Wu4QeZi51NZ7xpbZ-,Detector-Measurement Point-Traffic Data - Processed-260208_260208.csv,2026-03-03T16:29:22.357Z,2026-02-09T05:14:03.607Z,text/csv,2026-02-08,2602,Procesado,327848
"0,66",1ox8-XY-HatbyJvUB5BIKtgmEr3NvP9xP,Detector-Measurement Point-Traffic Data - Processed-260207_260207.csv,2026-03-03T16:28:01.891Z,2026-02-08T05:14:20.835Z,text/csv,2026-02-07,2602,Procesado,328418
"0,66",1hdmQHVuDzwRB-R5YTjadXgUxgKSFYzJE,Detector-Measurement Point-Traffic Data - Processed-260206_260206.csv,2026-03-03T16:29:06.527Z,2026-02-07T05:16:54.871Z,text/csv,2026-02-06,2602,Procesado,335533
"0,66",1ItfG0bWD0KA4oiFDUlB8qQ4QFf68cZ00,Detector-Measurement Point-Traffic Data - Processed-260205_260205.csv,2026-03-03T16:29:50.876Z,2026-02-06T05:14:55.340Z,text/csv,2026-02-05,2602,Procesado,339970
